Title,PlotSummary
What's the Worst That Could Happen?,"Kevin Caffrey is a thief and connoisseur who is at a local auction looking for things worth stealing. He meets Amber Belhaven who is auctioning off her father's painting to pay a hotel bill. Meanwhile, Kevin and Berger hire Shelly Nix, a computer hacker, to track Max Fairbanks' whereabouts by hacking into his e-mail. The next morning Max finds out that his house has been robbed and meets with Detective Alex Tardio of the Robbery Division. Max is banned from his summer house, and his being there breached the terms of his bankruptcy."
EuroTrip,"Scott Thomas (Scott Mechlowicz) is dumped by his girlfriend, Fiona (Kristin Kreuk), immediately after his high school graduation. Scott has always misunderstood his pen pal's name as ""Mike"", thinking that she is male. Scott decides to travel to Europe, with his best friend, Cooper Harris, to find Mieke and apologize in person. Scott and Cooper arrive in London, where they befriend a Manchester United football hooligan firm, led by Vinnie Jones."
The Temptress,"The story opens in Paris at a masquerade ball where the unhappy Elena (Garbo) meets Manuel Robledo (Antonio Moreno), an Argentine engineer. The next day when he goes to visit his friend, Marques De Torre Bianca (Armand Kaliz) Manuel is stunned to learn that his wife happens to be Elena. Wanting nothing more to do with her, he leaves."
The Skeleton Key,"Caroline Ellis, a hospice aide, quits her position at a hospital and is hired as the caretaker of an isolated plantation house in Terrebonne Parish, Louisiana. The elderly lady of the house, Violet Devereaux, needs help looking after her husband Benjamin, who was mostly paralyzed by an apparent stroke. She discovers a secret room filled with Hoodoo paraphernalia in the attic. The house used to belong to two African American servants who were employed at the house 90 years before. The servants, Mama Cecile and Papa Justify, were renowned Hoodoo practitioners."
Sun Sajna,"Basanti (Ranjeeta Kaur) lives in Madhupur with her father and uncle. She meets a singer named Raj Kumar (Mithun Chakraborty) at the hotel, ""Tin Min"" Raj Kumar falls in love with Basanti and she does with him also, but she does not show it. Raj and Basanti would often go on the hill and dream of their married life together. But before the marriage could take place, Raj has to perform his show in Bombay and bring his mother to meet Basanti. Raj's mother dies, Raj goes blind and his uncle is injured"
Cross Streets,"Adam Blythe is spurned by his fiancé, Ann Clement, at his college graduation. Adam becomes a small-town veterinarian, unable to practice medicine. Adam runs into an old schoolmate, Morton Talbot, who flunked out of college. Adam meets June Grattan, the 17-year-old daughter of Ann and Jerry, and she and Adam fall in love. Ann marries Jerry, who has followed Ann, and when he sees her with Adam, takes out a gun and fires at her. As he lays dying, he asks Jerry for the gun, which he wipes clean of fingerprints"
Barbershop,"Calvin Palmer Jr. (Ice Cube) has had enough of trying to keep open the barbershop his father handed down to him. He sells the shop to a loan shark, who secretly plans to turn it into a strip club. After spending a day at work, he rethinks his decision and tries to get the shop back - only to find out Wallace wants double the $20,000 he paid Calvin to return it."
Theatre of Blood,"Shakespearean actor Edward Lionheart (Vincent Price) is seen committing suicide by diving into the Thames from a great height. Unbeknownst to the public, he survives and is rescued by a group of vagrants. Two years later, on 15 March, he sets out to exact vengeance against the critics who failed to acclaim his genius."
Badhti Ka Naam Dadhi,"The premise of the film is that a multimillionaire, who has no heir, decides to leave his wealth to the person who has the longest beard. What follows is complete mayhem as Kishore Kumar and K. N. Singh plot to outwit one another."
Dolls,"The film is not in strict chronological order, but there is a strong visual emphasis on the changing of the seasons and the bonds of love over the progression of time. The film leads into it by opening with a performance of Bunraku theatre, and closes with a shot of dolls from the same."
The Unsinkable Molly Brown,"Molly Brown is rescued from the Colorado River as an infant and raised by Seamus Tobin. She and miner Johnny Brown wed, and he sells his claim in a silver mine for $300,000. Soon after the money Molly hid in the stove is accidentally burnt, Johnny discovers the richest gold vein in state history. Molly sets out to improve her social status by trying to ingratiate herself with the city's elite, all of whom snub her and her nouveau riche ways."
Battle of the Brave (Nouvelle-France),"Trapper Francois returns to his hometown to visit his father. His father has just died and Francois is clueless in regards to the business he just inherited. Francois soon develops a crush on Marie-Loup, the town's healer. He is delighted when he sees her protecting an Indian girl against a racist. Both share a deep sympathy for the local tribe and speak its language fluently."
The Four Musketeers,"Musketeers rescue Constance Bonancieux from imprisonment in Rochefort's abode of Saint Cloud. Milady de Winter seduces junior musketeer d'Artagnan to keep him occupied during Anglo-French War (1627–29) De Winter sends poisoned wine and a note intended to trick him into thinking that the trio have been imprisoned for drunkenness. Athos, Porthos, and Aramis rescue her and take her to safety in convent of Armentieres."
The Demon,"A man, his mistress and his wife involve three children in their own games-with tragic results. After Sōkichi stops providing his mistress with monetary support, she leaves her three children with him, whom she insists are also his, and disappears. The three children are involved in a series of jealous relationships."
Daniel Boone,"Boone's cabin is attacked by the Indians, who set it on fire and abduct Boone's daughter. Boone returns, swears vengeance, then heads out on the trail to the Indian camp. The Indians encounter Boone, which sets off a huge fight on the edge of a cliff. Boone is rescued by his horse, and Boone kills the Indian chief."
Knife Edge,"A successful Wall Street trader returns to Britain with her family, but her new home in the countryside contains a disturbing secret. Her understanding of this secret is complicated by her husbands' difficulties and losing his job. In trying to hide this, he uses gaslighting to trick her into believing she is going insane."
Stage to Thunder Rock,"In his last act before retirement, Horne tracks down the Sawyer brothers, who have robbed a bank of $50,000. Ross Sawyer, a wanted outlaw and father of the boys, intends to intercept the stagecoach before Horne can bring his son Reese to justice. The Parkers are in dire need of money and hope Leah can help them, although her reputation as a lady is in question."
Wu Kong,"Set 500 years before the Monkey King wreaks havoc in the heavenly kingdom, it tells the stories of Wukong who, unwilling to bow down to his own destiny, sets out to rebel against the gods. Wukong is the story of a young man who is determined to defy his own fate."
